Compounds,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Yb0.1Tm0.3Er0.1Y1.5Si1O5,9.14733,0.27361,0.31366,30.76932,42.85300,154.65000,205.93200,131.06250,137.66244,9.38750,14.57547,0.54238,0.58757,1.67470,2.16684,22.81250,28.83871,549.76125,566.85442,2.57114,2.68347,-596.10000,676.17777,-565.25000,642.60969,0.30849,0.34818,50.31250,66.42569,815.33750,855.83817,1.81575,2.23255,4.06290,7.40415
Yb0.1Tm0.3Er0.2Y1.4Si2O7,8.92732,0.23526,0.28955,25.64317,40.40522,175.83636,231.92677,127.09091,137.09294,11.46818,16.58170,0.56736,0.63294,1.47155,2.06027,25.70909,32.39945,528.10818,561.66464,2.60999,2.81629,-517.18182,627.29590,-489.63636,595.75194,0.26735,0.32152,39.81818,60.68115,748.10000,816.36542,1.59445,2.10952,5.22832,8.45411
Yb0.1Tm0.3Er0.2Y1.4Si1O5,9.38507,0.27349,0.31348,31.74874,44.58442,153.02500,206.06599,129.87500,136.61913,9.49375,14.57772,0.54262,0.58772,1.73212,2.27039,22.85000,28.84573,549.39875,566.45880,2.56977,2.68245,-597.26250,677.86033,-566.25000,644.05630,0.30760,0.34699,50.12500,66.15446,814.51250,854.82275,1.86112,2.30923,4.06394,7.40375
Yb0.1Tm0.3Er0.3Y1.3Si2O7,9.05527,0.23517,0.28939,26.35547,41.88603,174.65455,232.20058,126.22727,136.30169,11.54545,16.56688,0.56755,0.63303,1.51331,2.14619,25.73636,32.39979,527.84455,561.36062,2.60899,2.81562,-518.02727,628.78008,-490.36364,597.03016,0.26670,0.32046,39.68182,60.42791,747.50000,815.51733,1.62745,2.17406,5.22907,8.45368
Yb0.1Tm0.3Er0.3Y1.3Si1O5,9.56101,0.27336,0.31330,32.72815,46.21736,151.40000,206.17908,128.68750,135.55089,9.60000,14.57872,0.54288,0.58786,1.78955,2.36717,22.88750,28.85267,549.03625,566.06253,2.56840,2.68144,-598.42500,679.53549,-567.25000,645.49716,0.30671,0.34580,49.93750,65.88124,813.68750,853.80484,1.90650,2.38204,4.06498,7.40335
Yb0.1Tm0.3Er0.4Y1.2Si2O7,9.15172,0.23508,0.28923,27.06777,43.29708,173.47273,232.46424,125.36364,135.49682,11.62273,16.55145,0.56773,0.63312,1.55507,2.22751,25.76364,32.40010,527.58091,561.05622,2.60799,2.81495,-518.87273,630.25891,-491.09091,598.30419,0.26605,0.31939,39.54545,60.17310,746.90000,814.66762,1.66045,2.23594,5.22983,8.45325
Yb0.1Tm0.3Er0.4Y1.2Si1O5,9.69363,0.27324,0.31312,33.70756,47.76191,149.77500,206.27131,127.50000,134.45713,9.70625,14.57845,0.54312,0.58801,1.84698,2.45796,22.92500,28.85952,548.67375,565.66560,2.56703,2.68042,-599.58750,681.20331,-568.25000,646.93230,0.30582,0.34460,49.75000,65.60601,812.86250,852.78440,1.95188,2.45132,4.06601,7.40295
Yb0.1Tm0.3Er0.5Y1.1Si2O7,9.22277,0.23499,0.28907,27.78007,44.64497,172.29091,232.71777,124.50000,134.67807,11.70000,16.53542,0.56791,0.63320,1.59684,2.30474,25.79091,32.40037,527.31727,560.75146,2.60700,2.81428,-519.71818,631.73243,-491.81818,599.57407,0.26541,0.31832,39.40909,59.91670,746.30000,813.81631,1.69345,2.29538,5.23058,8.45282
Yb0.1Tm0.3Er0.5Y1.1Si1O5,9.79132,0.27311,0.31294,34.68697,49.22639,148.15000,206.34271,126.31250,133.33720,9.81250,14.57693,0.54337,0.58816,1.90440,2.54341,22.96250,28.86630,548.31125,565.26801,2.56566,2.67940,-600.75000,682.86384,-569.25000,648.36175,0.30494,0.34339,49.56250,65.32875,812.03750,851.76145,1.99725,2.51737,4.06705,7.40255
Yb0.1Tm0.3Er0.6Y1.0Si2O7,9.27172,0.23490,0.28891,28.49237,45.93528,171.10909,232.96122,123.63636,133.84519,11.77727,16.51878,0.56809,0.63329,1.63860,2.37825,25.81818,32.40060,527.05364,560.44633,2.60600,2.81361,-520.56364,633.20067,-492.54545,600.83983,0.26476,0.31724,39.27273,59.65869,745.70000,812.96338,1.72645,2.35256,5.23134,8.45239
Yb0.1Tm0.3Er0.6Y1.0Si1O5,9.85863,0.27299,0.31276,35.66639,50.61777,146.52500,206.39329,125.12500,132.19046,9.91875,14.57415,0.54362,0.58831,1.96182,2.62403,23.00000,28.87300,547.94875,564.86976,2.56429,2.67838,-601.91250,684.51713,-570.25000,649.78556,0.30405,0.34218,49.37500,65.04943,811.21250,850.73597,2.04262,2.58043,4.06809,7.40215
Yb0.1Tm0.3Er0.7Y0.9Si2O7,9.30044,0.23481,0.28875,29.20467,47.17272,169.92727,233.19461,122.77273,132.99793,11.85455,16.50154,0.56827,0.63338,1.68036,2.44840,25.84545,32.40079,526.79000,560.14083,2.60500,2.81293,-521.40909,634.66368,-493.27273,602.10149,0.26412,0.31616,39.13636,59.39904,745.10000,812.10883,1.75945,2.40765,5.23209,8.45196
Yb0.1Tm0.3Er0.7Y0.9Si1O5,9.89812,0.27286,0.31258,36.64580,51.94191,144.90000,206.42307,123.93750,131.01620,10.02500,14.57011,0.54388,0.58845,2.01925,2.70027,23.03750,28.87961,547.58625,564.47086,2.56292,2.67736,-603.07500,686.16324,-571.25000,651.20376,0.30316,0.34095,49.18750,64.76802,810.38750,849.70795,2.08800,2.64073,4.06912,7.40174
Yb0.1Tm0.3Er0.8Y0.8Si2O7,9.30991,0.23472,0.28858,29.91697,48.36135,168.74545,233.41798,121.90909,132.13599,11.93182,16.48368,0.56845,0.63346,1.72213,2.51546,25.87273,32.40095,526.52636,559.83496,2.60401,2.81226,-522.25455,636.12147,-494.00000,603.35908,0.26347,0.31507,39.00000,59.13774,744.50000,811.25266,1.79245,2.46078,5.23285,8.45153
Yb0.1Tm0.3Er0.8Y0.8Si1O5,9.91114,0.27274,0.31240,37.62521,53.20383,143.27500,206.43206,122.75000,129.81366,10.13125,14.56480,0.54412,0.58860,2.07667,2.77249,23.07500,28.88615,547.22375,564.07129,2.56155,2.67634,-604.23750,687.80222,-572.25000,652.61639,0.30228,0.33972,49.00000,64.48449,809.56250,848.67738,2.13338,2.69843,4.07016,7.40134
Yb0.1Tm0.3Er0.9Y0.7Si2O7,9.30044,0.23463,0.28842,30.62927,49.50470,167.56364,233.63135,121.04545,131.25910,12.00909,16.46521,0.56864,0.63355,1.76389,2.57967,25.90000,32.40107,526.26273,559.52872,2.60301,2.81159,-523.10000,637.57411,-494.72727,604.61262,0.26283,0.31397,38.86364,58.87477,743.90000,810.39485,1.82545,2.51207,5.23360,8.45110
Yb0.1Tm0.3Er0.9Y0.7Si1O5,9.89812,0.27261,0.31222,38.60462,54.40786,141.65000,206.42027,121.56250,128.58206,10.23750,14.55824,0.54438,0.58875,2.13410,2.84098,23.11250,28.89260,546.86125,563.67107,2.56018,2.67531,-605.40000,689.43412,-573.25000,654.02348,0.30139,0.33848,48.81250,64.19883,808.73750,847.64425,2.17875,2.75372,4.07120,7.40094
Yb0.1Tm0.3Er1.0Y0.6Si2O7,9.27172,0.23454,0.28826,31.34157,50.60582,166.38182,233.83476,120.18182,130.36695,12.08636,16.44612,0.56882,0.63363,1.80565,2.64124,25.92727,32.40115,525.99909,559.22211,2.60202,2.81091,-523.94545,639.02160,-495.45455,605.86214,0.26218,0.31287,38.72727,58.61009,743.30000,809.53540,1.85845,2.56164,5.23435,8.45067
Yb0.1Tm0.3Er1.0Y0.6Si1O5,9.85863,0.27249,0.31204,39.58404,55.55777,140.02500,206.38768,120.37500,127.32055,10.34375,14.55041,0.54462,0.58889,2.19153,2.90602,23.15000,28.89898,546.49875,563.27018,2.55881,2.67429,-606.56250,691.05898,-574.25000,655.42507,0.30050,0.33723,48.62500,63.91099,807.91250,846.60856,2.22412,2.80672,4.07224,7.40054
Yb0.1Tm0.3Er1.1Y0.5Si2O7,9.22277,0.23445,0.28810,32.05387,51.66743,165.20000,234.02822,119.31818,129.45922,12.16364,16.42642,0.56900,0.63372,1.84742,2.70035,25.95455,32.40119,525.73545,558.91513,2.60102,2.81024,-524.79091,640.46400,-496.18182,607.10766,0.26154,0.31177,38.59091,58.34369,742.70000,808.67432,1.89145,2.60959,5.23511,8.45024
Yb0.1Tm0.3Er1.1Y0.5Si1O5,9.79132,0.27236,0.31186,40.56345,56.65685,138.40000,206.33429,119.18750,126.02823,10.45000,14.54132,0.54488,0.58904,2.24895,2.96783,23.18750,28.90527,546.13625,562.86862,2.55744,2.67326,-607.72500,692.67687,-575.25000,656.82120,0.29961,0.33597,48.43750,63.62096,807.08750,845.57029,2.26950,2.85757,4.07328,7.40013
Yb0.1Tm0.3Er1.2Y0.4Si2O7,9.15172,0.23435,0.28794,32.76617,52.69190,164.01818,234.21176,118.45455,128.53559,12.24091,16.40610,0.56918,0.63381,1.88918,2.75716,25.98182,32.40120,525.47182,558.60777,2.60002,2.80956,-525.63636,641.90134,-496.90909,608.34921,0.26089,0.31065,38.45455,58.07555,742.10000,807.81158,1.92445,2.65601,5.23586,8.44981
Yb0.1Tm0.3Er1.2Y0.4Si1O5,9.69363,0.27224,0.31167,41.54286,57.70800,136.77500,206.26009,118.00000,124.70415,10.55625,14.53096,0.54512,0.58919,2.30638,3.02660,23.22500,28.91149,545.77375,562.46640,2.55607,2.67223,-608.88750,694.28782,-576.25000,658.21189,0.29873,0.33471,48.25000,63.32869,806.26250,844.52943,2.31487,2.90638,4.07431,7.39973
Yb0.1Tm0.3Er1.3Y0.3Si2O7,9.05527,0.23426,0.28778,33.47847,53.68137,162.83636,234.38541,117.59091,127.59571,12.31818,16.38515,0.56936,0.63389,1.93095,2.81181,26.00909,32.40116,525.20818,558.30004,2.59903,2.80888,-526.48182,643.33365,-497.63636,609.58681,0.26025,0.30953,38.31818,57.80563,741.50000,806.94720,1.95745,2.70096,5.23662,8.44938
Yb0.1Tm0.3Er1.3Y0.3Si1O5,9.56101,0.27211,0.31149,42.52228,58.71381,135.15000,206.16505,116.81250,123.34728,10.66250,14.51932,0.54537,0.58933,2.36380,3.08252,23.26250,28.91762,545.41125,562.06351,2.55470,2.67120,-610.05000,695.89188,-577.25000,659.59720,0.29784,0.33343,48.06250,63.03417,805.43750,843.48598,2.36025,2.95326,4.07535,7.39933
Yb0.1Tm0.3Er1.4Y0.2Si2O7,8.92732,0.23417,0.28762,34.19077,54.63773,161.65455,234.54919,116.72727,126.63921,12.39545,16.36358,0.56955,0.63398,1.97271,2.86441,26.03636,32.40109,524.94455,557.99194,2.59803,2.80821,-527.32727,644.76096,-498.36364,610.82049,0.25960,0.30840,38.18182,57.53392,740.90000,806.08116,1.99045,2.74453,5.23737,8.44895
Yb0.1Tm0.3Er1.4Y0.2Si1O5,9.38507,0.27199,0.31131,43.50169,59.67656,133.52500,206.04913,115.62500,121.95654,10.76875,14.50642,0.54562,0.58948,2.42123,3.13574,23.30000,28.92367,545.04875,561.65995,2.55333,2.67017,-611.21250,697.48911,-578.25000,660.97714,0.29695,0.33215,47.87500,62.73735,804.61250,842.43992,2.40562,2.99828,4.07639,7.39892
Yb0.1Tm0.3Er1.5Y0.1Si2O7,8.75441,0.23408,0.28745,34.90307,55.56270,160.47273,234.70311,115.86364,125.66573,12.47273,16.34139,0.56973,0.63406,2.01447,2.91510,26.06364,32.40099,524.68091,557.68346,2.59703,2.80753,-528.17273,646.18331,-499.09091,612.05026,0.25895,0.30727,38.04545,57.26039,740.30000,805.21345,2.02345,2.78678,5.23813,8.44851
Yb0.1Tm0.3Er1.5Y0.1Si1O5,9.14733,0.27186,0.31113,44.48110,60.59830,131.90000,205.91232,114.43750,120.53073,10.87500,14.49223,0.54587,0.58962,2.47865,3.18638,23.33750,28.92964,544.68625,561.25572,2.55196,2.66913,-612.37500,699.07954,-579.25000,662.35175,0.29606,0.33086,47.68750,62.43820,803.78750,841.39124,2.45100,3.04154,4.07742,7.39852
Yb0.1Tm0.4Er0.1Y1.4Si2O7,8.86209,0.23515,0.28934,25.65840,40.45272,175.76364,231.96555,126.77273,136.95409,11.44000,16.58237,0.56745,0.63299,1.47385,2.06786,25.71818,32.40013,528.54455,562.17443,2.61068,2.81675,-517.63636,628.14626,-490.09091,596.60084,0.26799,0.32258,39.90909,60.84538,748.77273,817.31771,1.59409,2.10848,5.22935,8.45353
Yb0.1Tm0.4Er0.1Y1.4Si1O5,9.29538,0.27332,0.31325,31.76968,44.63909,152.92500,206.10703,129.43750,136.43709,9.45500,14.56987,0.54275,0.58779,1.73530,2.27929,22.86250,28.84892,549.99875,567.12332,2.57073,2.68316,-597.88750,678.82770,-566.87500,645.02050,0.30849,0.34818,50.25000,66.33079,815.43750,855.96540,1.86062,2.30801,4.06536,7.40322
Yb0.1Tm0.4Er0.2Y1.3Si2O7,9.02959,0.23505,0.28918,26.37070,41.93143,174.58182,232.23871,125.90909,136.15874,11.51727,16.56776,0.56764,0.63308,1.51562,2.15340,25.74545,32.40046,528.28091,561.87101,2.60969,2.81608,-518.48182,629.62744,-490.81818,597.87633,0.26735,0.32152,39.77273,60.59316,748.17273,816.47141,1.62709,2.17306,5.23011,8.45310
Yb0.1Tm0.4Er0.2Y1.3Si1O5,9.52569,0.27320,0.31307,32.74909,46.26938,151.30000,206.21882,128.25000,135.36118,9.56125,14.57132,0.54300,0.58794,1.79272,2.37558,22.90000,28.85583,549.63625,566.72813,2.56936,2.68214,-599.05000,680.49875,-567.87500,646.45764,0.30760,0.34699,50.06250,66.05887,814.61250,854.95030,1.90600,2.38088,4.06640,7.40282
Yb0.1Tm0.4Er0.3Y1.2Si2O7,9.15172,0.23496,0.28902,27.08300,43.34059,173.40000,232.50171,125.04545,135.34969,11.59455,16.55255,0.56782,0.63316,1.55738,2.23439,25.77273,32.40075,528.01727,561.56723,2.60869,2.81541,-519.32727,631.10329,-491.54545,599.14767,0.26670,0.32046,39.63636,60.33939,747.57273,815.62351,1.66009,2.23498,5.23086,8.45267
Yb0.1Tm0.4Er0.3Y1.2Si1O5,9.69363,0.27308,0.31289,33.72850,47.81155,149.67500,206.30976,127.06250,134.25958,9.66750,14.57152,0.54325,0.58809,1.85015,2.46594,22.93750,28.86266,549.27375,566.33229,2.56799,2.68113,-600.21250,682.16248,-568.87500,647.88908,0.30671,0.34580,49.87500,65.78497,813.78750,853.93269,1.95138,2.45021,4.06744,7.40242
Yb0.1Tm0.4Er0.4Y1.1Si2O7,9.24187,0.23487,0.28886,27.79530,44.68678,172.21818,232.75460,124.18182,134.52670,11.67182,16.53674,0.56800,0.63325,1.59915,2.31132,25.80000,32.40101,527.75364,561.26308,2.60769,2.81474,-520.17273,632.57384,-492.27273,600.41487,0.26605,0.31939,39.50000,60.08403,746.97273,814.77401,1.69309,2.29446,5.23162,8.45224
Yb0.1Tm0.4Er0.4Y1.1Si1O5,9.81758,0.27295,0.31271,34.70791,49.27389,148.05000,206.37986,125.87500,133.13165,9.77375,14.57045,0.54350,0.58824,1.90758,2.55100,22.97500,28.86941,548.91125,565.93580,2.56662,2.68011,-601.37500,683.81896,-569.87500,649.31486,0.30582,0.34460,49.68750,65.50905,812.96250,852.91257,1.99675,2.51630,4.06848,7.40201
Yb0.1Tm0.4Er0.5Y1.0Si2O7,9.30603,0.23478,0.28870,28.50760,45.97552,171.03636,232.99741,123.31818,133.68952,11.74909,16.52032,0.56818,0.63334,1.64091,2.38457,25.82727,32.40123,527.49000,560.95856,2.60670,2.81407,-521.01818,634.03914,-493.00000,601.67796,0.26541,0.31832,39.36364,59.82708,746.37273,813.92289,1.72609,2.35167,5.23237,8.45181
Yb0.1Tm0.4Er0.5Y1.0Si1O5,9.90581,0.27282,0.31253,35.68732,50.66330,146.42500,206.42915,124.68750,131.97673,9.88000,14.56813,0.54375,0.58838,1.96500,2.63129,23.01250,28.87608,548.54875,565.53865,2.56525,2.67909,-602.53750,685.46823,-570.87500,650.73502,0.30494,0.34339,49.50000,65.23108,812.13750,851.88992,2.04212,2.57941,4.06951,7.40161
Yb0.1Tm0.4Er0.6Y0.9Si2O7,9.34741,0.23469,0.28854,29.21990,47.21153,169.85455,233.23016,122.45455,132.83788,11.82636,16.50329,0.56836,0.63342,1.68267,2.45447,25.85455,32.40141,527.22636,560.65368,2.60570,2.81340,-521.86364,635.49923,-493.72727,602.93697,0.26476,0.31724,39.22727,59.56851,745.77273,813.07016,1.75909,2.40678,5.23313,8.45138
Yb0.1Tm0.4Er0.6Y0.9Si1O5,9.96271,0.27270,0.31235,36.66674,51.98564,144.80000,206.45765,123.50000,130.79409,9.98625,14.56454,0.54400,0.58853,2.02242,2.70721,23.05000,28.88267,548.18625,565.14084,2.56388,2.67807,-603.70000,687.11034,-571.87500,652.14960,0.30405,0.34218,49.31250,64.95104,811.31250,850.86476,2.08750,2.63974,4.07055,7.40121
Yb0.1Tm0.4Er0.7Y0.8Si2O7,9.36772,0.23460,0.28838,29.93220,48.39885,168.67273,233.45290,121.59091,131.97149,11.90364,16.48565,0.56855,0.63351,1.72444,2.52130,25.88182,32.40155,526.96273,560.34843,2.60470,2.81273,-522.70909,636.95413,-494.45455,604.19192,0.26412,0.31616,39.09091,59.30830,745.17273,812.21581,1.79209,2.45993,5.23388,8.45095
Yb0.1Tm0.4Er0.7Y0.8Si1O5,9.99063,0.27258,0.31217,37.64615,53.24589,143.17500,206.46536,122.31250,129.58298,10.09250,14.55970,0.54425,0.58868,2.07985,2.77914,23.08750,28.88918,547.82375,564.74238,2.56251,2.67705,-604.86250,688.74535,-572.87500,653.55863,0.30316,0.34095,49.12500,64.66891,810.48750,849.83705,2.13287,2.69748,4.07159,7.40081
Yb0.1Tm0.4Er0.8Y0.7Si2O7,9.36772,0.23451,0.28822,30.64450,49.54097,167.49091,233.66563,120.72727,131.09007,11.98091,16.46739,0.56873,0.63359,1.76620,2.58531,25.90909,32.40166,526.69909,560.04280,2.60371,2.81205,-523.55455,638.40388,-495.18182,605.44284,0.26347,0.31507,38.95455,59.04642,744.57273,811.35984,1.82509,2.51125,5.23464,8.45052
Yb0.1Tm0.4Er0.8Y0.7Si1O5,9.99063,0.27245,0.31199,38.62556,54.44838,141.55000,206.45228,121.12500,128.34258,10.19875,14.55359,0.54450,0.58882,2.13727,2.84737,23.12500,28.89560,547.46125,564.34325,2.56114,2.67602,-606.02500,690.37330,-573.87500,654.96215,0.30227,0.33972,48.93750,64.38466,809.66250,848.80679,2.17825,2.75280,4.07263,7.40041
Yb0.1Tm0.4Er0.9Y0.6Si2O7,9.34741,0.23442,0.28806,31.35680,50.64096,166.30909,233.86841,119.86364,130.19330,12.05818,16.44853,0.56891,0.63368,1.80796,2.64669,25.93636,32.40173,526.43545,559.73681,2.60271,2.81138,-524.40000,639.84851,-495.90909,606.68976,0.26283,0.31397,38.81818,58.78287,743.97273,810.50223,1.85809,2.56085,5.23539,8.45009
Yb0.1Tm0.4Er0.9Y0.6Si1O5,9.96271,0.27232,0.31181,39.60497,55.59685,139.92500,206.41842,119.93750,127.07205,10.30500,14.54622,0.54475,0.58897,2.19470,2.91216,23.16250,28.90195,547.09875,563.94347,2.55977,2.67500,-607.18750,691.99426,-574.87500,656.36019,0.30139,0.33848,48.75000,64.09825,808.83750,847.77398,2.22363,2.80583,4.07366,7.40000
Yb0.1Tm0.4Er1.0Y0.5Si2O7,9.30603,0.23433,0.28790,32.06910,51.70150,165.12727,234.06124,119.00000,129.28088,12.13545,16.42904,0.56909,0.63377,1.84973,2.70562,25.96364,32.40176,526.17182,559.43044,2.60172,2.81071,-525.24545,641.28807,-496.63636,607.93270,0.26218,0.31287,38.68182,58.51760,743.37273,809.64299,1.89109,2.60882,5.23615,8.44966
Yb0.1Tm0.4Er1.0Y0.5Si1O5,9.90581,0.27220,0.31163,40.58439,56.69459,138.30000,206.36377,118.75000,125.77047,10.41125,14.53759,0.54500,0.58912,2.25213,2.97374,23.20000,28.90822,546.73625,563.54302,2.55840,2.67397,-608.35000,693.60826,-575.87500,657.75278,0.30050,0.33723,48.56250,63.80966,808.01250,846.73860,2.26900,2.85671,4.07470,7.39960
Yb0.1Tm0.4Er1.1Y0.4Si2O7,9.24187,0.23424,0.28773,32.78140,52.72497,163.94545,234.24416,118.13636,128.35246,12.21273,16.40894,0.56927,0.63385,1.89149,2.76226,25.99091,32.40175,525.90818,559.12371,2.60072,2.81003,-526.09091,642.72259,-497.36364,609.17168,0.26154,0.31177,38.54545,58.25060,742.77273,808.78211,1.92409,2.65526,5.23690,8.44923
Yb0.1Tm0.4Er1.1Y0.4Si1O5,9.81758,0.27208,0.31144,41.56380,57.74448,136.67500,206.28829,117.56250,124.43686,10.51750,14.52768,0.54525,0.58926,2.30955,3.03231,23.23750,28.91440,546.37375,563.14191,2.55703,2.67294,-609.51250,695.21535,-576.87500,659.13997,0.29961,0.33597,48.37500,63.51887,807.18750,845.70065,2.31438,2.90555,4.07574,7.39920
Yb0.1Tm0.4Er1.2Y0.3Si2O7,9.15172,0.23415,0.28757,33.49370,53.71350,162.76364,234.41718,117.27273,127.40770,12.29000,16.38822,0.56945,0.63394,1.93325,2.81675,26.01818,32.40171,525.64455,558.81660,2.59972,2.80935,-526.93636,644.15210,-498.09091,610.40672,0.26089,0.31065,38.40909,57.98186,742.17273,807.91958,1.95709,2.70023,5.23765,8.44880
Yb0.1Tm0.4Er1.2Y0.3Si1O5,9.69363,0.27195,0.31126,42.54321,58.74910,135.05000,206.19198,116.37500,123.07019,10.62375,14.51651,0.54550,0.58941,2.36698,3.08803,23.27500,28.92051,546.01125,562.74013,2.55566,2.67191,-610.67500,696.81559,-577.87500,660.52179,0.29873,0.33471,48.18750,63.22583,806.36250,844.66011,2.35975,2.95245,4.07677,7.39879
Yb0.1Tm0.4Er1.3Y0.2Si2O7,9.02959,0.23405,0.28741,34.20600,54.66897,161.58182,234.58034,116.40909,126.44622,12.36727,16.36687,0.56964,0.63402,1.97502,2.86922,26.04545,32.40162,525.38091,558.50912,2.59873,2.80868,-527.78182,645.57662,-498.81818,611.63786,0.26025,0.30953,38.27273,57.71133,741.57273,807.05540,1.99009,2.74382,5.23841,8.44837
Yb0.1Tm0.4Er1.3Y0.2Si1O5,9.52569,0.27182,0.31108,43.52262,59.71072,133.42500,206.07480,115.18750,121.66934,10.73000,14.50406,0.54575,0.58955,2.42440,3.14106,23.31250,28.92654,545.64875,562.33768,2.55429,2.67088,-611.83750,698.40901,-578.87500,661.89827,0.29784,0.33343,48.00000,62.93052,805.53750,843.61698,2.40512,2.99749,4.07781,7.39839
Yb0.1Tm0.4Er1.4Y0.1Si2O7,8.86209,0.23396,0.28725,34.91830,55.59310,160.40000,234.73364,115.54545,125.46766,12.44455,16.34490,0.56982,0.63411,2.01678,2.91976,26.07273,32.40150,525.11727,558.20127,2.59773,2.80800,-528.62727,646.99621,-499.54545,612.86511,0.25960,0.30840,38.13636,57.43900,740.97273,806.18956,2.02309,2.78609,5.23916,8.44793
Yb0.1Tm0.4Er1.4Y0.1Si1O5,9.29538,0.27170,0.31090,44.50204,60.63139,131.80000,205.93673,114.00000,120.23311,10.83625,14.49034,0.54600,0.58970,2.48182,3.19152,23.35000,28.93248,545.28625,561.93457,2.55292,2.66985,-613.00000,699.99567,-579.87500,663.26944,0.29695,0.33215,47.81250,62.63290,804.71250,842.57124,2.45050,3.04077,4.07885,7.39798
Yb0.1Tm0.5Er0.1Y1.3Si2O7,8.94526,0.23494,0.28898,26.38593,41.97678,174.50909,232.27679,125.59091,136.01441,11.48909,16.56857,0.56773,0.63312,1.51793,2.16058,25.75455,32.40112,528.71727,562.38039,2.61038,2.81655,-518.93636,630.47311,-491.27273,598.72075,0.26799,0.32258,39.86364,60.75774,748.84545,817.42347,1.62673,2.17207,5.23115,8.45252
Yb0.1Tm0.5Er0.1Y1.3Si1O5,9.40974,0.27304,0.31284,32.77002,46.32132,151.20000,206.25848,127.81250,135.16890,9.52250,14.56376,0.54313,0.58802,1.79590,2.38395,22.91250,28.85898,550.23625,567.39193,2.57031,2.68284,-599.67500,681.45971,-568.50000,647.41570,0.30849,0.34818,50.18750,66.23565,815.53750,856.09260,1.90550,2.37972,4.06782,7.40228
Yb0.1Tm0.5Er0.2Y1.2Si2O7,9.10694,0.23485,0.28882,27.09823,43.38405,173.32727,232.53915,124.72727,135.20117,11.56636,16.55357,0.56791,0.63321,1.55969,2.24125,25.78182,32.40140,528.45364,562.07722,2.60939,2.81588,-519.78182,631.94599,-492.00000,599.98939,0.26735,0.32152,39.72727,60.50499,748.24545,816.57737,1.65973,2.23402,5.23190,8.45209
Yb0.1Tm0.5Er0.2Y1.2Si1O5,9.63206,0.27291,0.31266,33.74944,47.86113,149.57500,206.34811,126.62500,134.05942,9.62875,14.56441,0.54337,0.58817,1.85332,2.47389,22.95000,28.86578,549.87375,566.99718,2.56894,2.68183,-600.83750,683.11938,-569.50000,648.84347,0.30760,0.34699,50.00000,65.96306,814.71250,855.07780,1.95088,2.44910,4.06886,7.40188
Yb0.1Tm0.5Er0.3Y1.1Si2O7,9.22277,0.23475,0.28866,27.81053,44.72853,172.14545,232.79139,123.86364,134.37393,11.64364,16.53798,0.56809,0.63329,1.60145,2.31788,25.80909,32.40165,528.19000,561.77368,2.60839,2.81521,-520.62727,633.41360,-492.72727,601.25392,0.26670,0.32046,39.59091,60.25067,747.64545,815.72967,1.69273,2.29353,5.23265,8.45166
Yb0.1Tm0.5Er0.3Y1.1Si1O5,9.79132,0.27279,0.31248,34.72885,49.32132,147.95000,206.41692,125.43750,132.92344,9.73500,14.56380,0.54362,0.58831,1.91075,2.55857,22.98750,28.87251,549.51125,566.60177,2.56757,2.68081,-602.00000,684.77182,-570.50000,650.26559,0.30671,0.34580,49.81250,65.68846,813.88750,854.06050,1.99625,2.51523,4.06990,7.40148
Yb0.1Tm0.5Er0.4Y1.0Si2O7,9.30603,0.23466,0.28850,28.52283,46.01572,170.96364,233.03356,123.00000,133.53243,11.72091,16.52177,0.56827,0.63338,1.64322,2.39086,25.83636,32.40185,527.92636,561.46978,2.60739,2.81454,-521.47273,634.87597,-493.45455,602.51435,0.26605,0.31939,39.45455,59.99477,747.04545,814.88036,1.72573,2.35077,5.23341,8.45123
Yb0.1Tm0.5Er0.4Y1.0Si1O5,9.90581,0.27266,0.31230,35.70826,50.70877,146.32500,206.46493,124.25000,131.76029,9.84125,14.56194,0.54387,0.58846,1.96818,2.63851,23.02500,28.87915,549.14875,566.20571,2.56620,2.67980,-603.16250,686.41707,-571.50000,651.68213,0.30582,0.34460,49.62500,65.41184,813.06250,853.04069,2.04162,2.57838,4.07094,7.40108
