Compounds,crg,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Lu1.667Yb0.1666Tm0.1666Si1O5,0.236,8.66113,0.26574,0.30236,47.08991,63.9692,127.37562,206.43393,139.88538,148.43613,11.36918,14.5917,0.55106,0.59296,2.67271,3.45805,24.0841,29.14914,572.49153,597.72038,2.40855,2.57386,-622.77438,713.99176,-591.20197,679.55721,0.30272,0.33993,53.58741,71.52713,832.23072,877.43016,2.66414,3.3355,4.13235,7.37795
Lu1Yb1Si1O5,0.0724,8.92544,0.26612,0.30291,47.01212,63.85038,127.25,206.46691,116.75,136.7062,9.9875,14.86009,0.53375,0.5841,2.34262,3.04336,22.375,29.06173,486.9875,542.27801,2.47895,2.62478,-607.3625,692.68347,-575.75,658.20696,0.3,0.33612,50.875,67.65865,819,861.13131,2.655,3.32059,4.12862,7.37938
Lu1.333Yb0.333Tm0.333Si1O5,0.093,9.2863,0.26613,0.30303,46.90524,63.71456,127.49644,206.42041,131.10701,143.34152,10.96193,14.6507,0.547,0.59099,2.59275,3.36248,23.66446,29.12665,552.31375,585.13661,2.4411,2.59809,-619.44018,709.71476,-587.66971,674.98559,0.30283,0.34025,52.52532,70.03905,827.55107,871.92346,2.64086,3.30326,4.12798,7.38012
Lu0.912Yb0.912Tm0.088Er0.088Si1O5,0.114,9.54459,0.26654,0.30352,46.88212,63.6571,127.47,206.41666,116.31,135.13003,10.0645,14.82558,0.53507,0.58474,2.36435,3.06845,22.485,29.05549,493.1486,545.31006,2.48568,2.62909,-608.3965,694.11218,-576.63,659.40405,0.3001,0.3363,50.655,67.30817,818.153,860.0321,2.64015,3.29965,4.12487,7.3808
Lu0.9Yb0.9Tm0.1Er0.1Si1O5,0.068,9.60112,0.2666,0.30361,46.86439,63.63067,127.5,206.40977,116.25,134.91349,10.075,14.82082,0.53525,0.58483,2.36731,3.07183,22.5,29.05458,493.98875,545.71346,2.4866,2.62967,-608.5375,694.30658,-576.75,659.56697,0.30011,0.33632,50.625,67.26015,818.0375,859.88199,2.63812,3.29678,4.12436,7.38099
Lu1Yb0.5Tm0.5Si1O5,0.076,9.64579,0.26669,0.30373,46.75519,63.46774,127.625,206.37592,122.375,137.14621,10.55625,14.6891,0.54313,0.58889,2.5145,3.26138,23.25,29.08971,532.36875,571.11314,2.47459,2.62113,-616.4875,705.45747,-584.5,670.42083,0.30312,0.3406,51.5,68.5016,823.3125,866.36932,2.61937,3.27087,4.12356,7.38128
Yb2Si1O5,7.8,7.48473,0.267,0.30416,46.77187,63.4813,127.25,206.46691,84.875,103.94232,8.2,14.85135,0.5125,0.57178,1.93375,2.32235,20.25,28.70363,381.475,425.55686,2.58246,2.69204,-588.8625,665.38253,-557,630.42634,0.2975,0.33257,47.125,61.5417,801.375,838.25313,2.62375,3.27314,4.1205,7.38234
Tm0.666Yb0.666Lu0.666Si1O5,0.061,9.76547,0.26702,0.30438,46.55802,63.20608,127.74294,206.37338,113.58465,129.71014,10.14866,14.712,0.539,0.58685,2.43396,3.15324,22.82871,29.04936,512.11745,555.57937,2.50678,2.6437,-613.01625,701.05608,-580.83771,665.70619,0.30317,0.3409,50.42511,66.88969,818.47487,860.70583,2.59547,3.23732,4.1192,7.3838
Gd0.4Sc0.4Er0.4Yb0.4Y0.4Si1O5,1.202,10.82995,0.26705,0.30599,35.08143,52.22403,160.1,217.60545,117.275,126.60769,9.525,14.65056,0.5435,0.58951,1.84095,2.4507,23.05,29.15791,511.545,540.04064,2.58349,2.69402,-594.5625,674.28846,-559.75,635.58095,0.31795,0.36458,49.775,66.35175,814.525,855.14992,2.03575,2.6126,4.1394,7.38371
Lu0.8Yb0.8Tm0.2Er0.2Si1O5,0.059,9.96552,0.26708,0.3043,46.71665,63.40963,127.75,206.35212,115.75,133.09357,10.1625,14.7806,0.53675,0.58556,2.392,3.09973,22.625,29.04656,500.99,548.98236,2.49425,2.63452,-609.7125,695.92269,-577.75,660.92172,0.30022,0.33652,50.375,66.85775,817.075,858.62911,2.62125,3.27266,4.1201,7.38259
Lu0.6667Yb0.6667Tm0.6667Si1O5,0.2528,9.76833,0.26717,0.30441,46.59103,63.21543,127.75035,206.34394,113.62702,129.70756,10.15007,14.71003,0.53918,0.58678,2.43558,3.1537,22.83356,29.04495,512.33537,555.57656,2.50769,2.64341,-613.37981,701.12524,-581.18311,665.7726,0.30334,0.34093,50.45999,66.89943,818.895,860.73414,2.59716,3.23775,4.11916,7.38285
Sc0.4Nd0.4Er0.4Yb0.4Lu0.4Si1O5,9.6,10.82995,0.26735,0.30702,38.73407,56.82061,150.4,218.8995,118.025,128.62343,9.91,14.75474,0.543,0.58958,2.06485,2.7862,23.1,29.26745,503.795,540.55442,2.51267,2.64927,-591.9125,671.4746,-556.5,632.16856,0.31695,0.36357,50.025,67.05044,809.175,849.40678,2.24775,2.89953,4.1413,7.38425
Lu0.898Yb0.898Ho0.068Dy0.068Gd0.068Si1O5,0.0461,9.69617,0.26746,0.30494,46.69475,63.39509,128.185,206.38264,116.64375,135.13193,9.93268,14.8332,0.53456,0.5844,2.34798,3.04068,22.37925,29.03117,491.03478,542.11654,2.48397,2.62762,-607.745,693.13207,-575.8775,658.2814,0.30357,0.34193,50.365,66.91624,818.29025,860.19077,2.62555,3.28209,4.11732,7.38386
